ID,BookKey,ImageKey,ImageColumn,State,CityImage,CityColumn,CityTextOCR,CityText,CityTextLBX,CityCoords,CityScore,CityExtent,CityConfidence,NeighborhoodImage,NeighborhoodColumn,NeighborhoodTextOCR,NeighborhoodText,NeighborhoodTextLBX,NeighborhoodCoords,NeighborhoodScore,NeighborhoodExtent,NeighborhoodConfidence,ZipCodeImage,ZipCodeColumn,ZipCodeTextOCR,ZipCodeText,ZipCodeTextLBX,ZipCodeCoords,ZipCodeScore,ZipCodeExtent,ZipCodeConfidence,StreetImage,StreetColumn,StreetTextOCR,StreetText,StreetTextLBX,StreetCoords,StreetScore,StreetExtent,StreetConfidence,CrossImage,CrossColumn,CrossTextOCR,CrossText,CrossTextLBX,CrossCoords,CrossScore,CrossExtent,CrossConfidence,RemaindersXML,Issue,TableSource,ETL
258832904,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 5th,N 5th,NULL,"[[434,970,468,1000],[484,968,556,998]]","[99,99]","[434,968,556,1000]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[565,967,774,998]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832905,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 6th,N 6th,NULL,"[[431,1363,468,1394],[480,1364,556,1394]]","[99,99]","[431,1363,556,1394]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[565,1363,774,1394]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832906,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 7th,N 7th,NULL,"[[432,1930,468,1960],[478,1930,552,1960]]","[99,99]","[432,1930,552,1960]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[559,1929,770,1960]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832907,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 8th,N 8th,NULL,"[[432,1988,466,2018],[478,1986,554,2016]]","[99,99]","[432,1986,554,2018]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[563,1985,774,2016]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832908,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 9th,N 9th,NULL,"[[430,2044,466,2074],[478,2044,554,2074]]","[99,99]","[430,2044,554,2074]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[563,2043,774,2072]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832909,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,Prince,Prince,NULL,"[[430,2384,572,2414]]",[99],"[430,2384,572,2414]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[589,2383,800,2414]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832903,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 4th,N 4th,NULL,"[[432,688,466,718],[482,686,554,716]]","[99,99]","[432,686,554,718]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[565,685,774,714]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832902,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 3d,N 3d,NULL,"[[1288,3038,1322,3068],[1336,3038,1392,3068]]","[99,99]","[1288,3038,1392,3068]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[1401,3034,1612,3068]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832901,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,N 2d,N 2d,NULL,"[[1290,2834,1326,2864],[1340,2834,1396,2864]]","[99,99]","[1290,2834,1396,2864]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[1405,2833,1614,2864]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832900,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,Ambler av,Ambler av,NULL,"[[1470,2698,1630,2728],[1637,2698,1696,2728]]","[99,99]","[1470,2698,1696,2728]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832899,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,"N 1st,",N 1st,NULL,"[[1848,2640,1884,2670],[1906,2642,1981,2672]]","[99,86]","[1848,2640,1981,2672]",92.5,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832898,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,"Pine,",Pine,NULL,"[[1500,2640,1611,2672]]",[89],"[1500,2640,1611,2672]",89,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832897,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 8th,N 8th,NULL,"[[1294,2494,1330,2524],[1342,2494,1416,2524]]","[99,99]","[1294,2494,1416,2524]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[1427,2490,1634,2524]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832896,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 7th,N 7th,NULL,"[[1296,2358,1332,2388],[1344,2358,1418,2388]]","[99,99]","[1296,2358,1418,2388]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[1427,2354,1636,2388]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832895,txabilene1909johnfworleydire,37,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 6th,N 6th,NULL,"[[1299,1981,1336,2012],[1348,1984,1422,2014]]","[99,99]","[1299,1981,1422,2014]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[1431,1983,1642,2014]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832894,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 5th,N 5th,NULL,"[[416,3172,450,3202],[464,3172,538,3202]]","[99,99]","[416,3172,538,3202]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[547,3166,758,3200]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832893,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 4th,N 4th,NULL,"[[415,2943,452,2974],[466,2944,540,2974]]","[99,99]","[415,2943,540,2974]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[549,2943,760,2974]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832892,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 3d,N 3d,NULL,"[[422,2548,458,2578],[470,2548,524,2578]]","[99,99]","[422,2548,524,2578]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[537,2547,746,2578]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832891,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,N 8th,N 8th,NULL,"[[638,2490,672,2520],[684,2490,760,2520]]","[99,99]","[638,2490,760,2520]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832890,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,"2d,",2d,NULL,"[[1052,2432,1114,2463]]",[99],"[1052,2432,1114,2463]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832889,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,"Pine,",Pine,NULL,"[[632,2430,744,2464]]",[96],"[632,2430,744,2464]",96,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832888,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ASH,ASH,NULL,"[[372,2378,472,2408]]",[99],"[372,2378,472,2408]",99,NULL,NULL,4th,4th,NULL,"[[422,2434,496,2464]]",[99],"[422,2434,496,2464]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832887,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AMBLER AV,AMBLER AV,NULL,"[[376,2004,589,2034],[612,2002,682,2032]]","[99,99]","[376,2002,682,2034]",99,NULL,NULL,,Grape,NULL,"[[760,2119,879,2150]]",[99],"[760,2119,879,2150]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832886,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AMBLER AV,AMBLER AV,NULL,"[[376,2004,589,2034],[612,2002,682,2032]]","[99,99]","[376,2002,682,2034]",99,NULL,NULL,,Pine,NULL,"[[430,2118,539,2149]]",[99],"[430,2118,539,2149]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832885,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AMBLER AV,AMBLER AV,NULL,"[[376,2004,589,2034],[612,2002,682,2032]]","[99,99]","[376,2002,682,2034]",99,NULL,NULL,"P Ry,",P Ry,NULL,"[[770,2060,804,2090],[825,2060,896,2091]]","[99,98]","[770,2060,896,2091]",98.5,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832884,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AMBLER AV,AMBLER AV,NULL,"[[376,2004,589,2034],[612,2002,682,2032]]","[99,99]","[376,2002,682,2034]",99,NULL,NULL,T,T,NULL,"[[655,2058,690,2090]]",[99],"[655,2058,690,2090]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832883,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,AMBLER AV,AMBLER AV,NULL,"[[376,2004,589,2034],[612,2002,682,2032]]","[99,99]","[376,2002,682,2034]",99,NULL,NULL,24th,24th,NULL,"[[428,2060,526,2090]]",[99],"[428,2060,526,2090]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832882,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALMOND,ALMOND,NULL,"[[380,1788,593,1818]]",[99],"[380,1788,593,1818]",99,NULL,NULL,N 8th,N 8th,NULL,"[[617,1899,654,1930],[668,1900,744,1932]]","[99,99]","[617,1899,744,1932]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832881,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALMOND,ALMOND,NULL,"[[380,1788,593,1818]]",[99],"[380,1788,593,1818]",99,NULL,NULL,,N 2d,NULL,"[[996,1844,1032,1874],[1054,1844,1122,1876]]","[99,99]","[996,1844,1122,1876]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832880,txabilene1909johnfworleydire,37,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,ALMOND,ALMOND,NULL,"[[380,1788,593,1818]]",[99],"[380,1788,593,1818]",99,NULL,NULL,,Pine,NULL,"[[634,1846,745,1877]]",[99],"[634,1846,745,1877]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0037.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832910,txabilene1909johnfworleydire,38,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,37,2,BEECH,BEECH,NULL,"[[1242,2584,1414,2614]]",[99],"[1242,2584,1414,2614]",99,NULL,NULL,Carrollton,Carrollton,NULL,"[[428,2610,648,2642]]",[99],"[428,2610,648,2642]",99,"<remainders><remainder><textOCR>intersects</textOCR><text>intersects</text><coords>[[653,2609,864,2640]]</coords><score>[99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0038.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832935,txabilene1909johnfworleydire,39,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CARSON,CARSON,NULL,"[[408,1922,606,1952]]",[99],"[408,1922,606,1952]",99,NULL,NULL,Orange,Orange,NULL,"[[843,2034,1000,2067]]",[99],"[843,2034,1000,2067]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0039.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258832936,txabilene1909johnfworleydire,39,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,CEDAR,CEDAR,NULL,"[[406,2136,582,2168]]",[99],"[406,2136,582,2168]",99,NULL,NULL,2d,2d,NULL,"[[458,2194,512,2224]]",[99],"[458,2194,512,2224]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0039.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
